company,title,pros,cons
NEORIS,Buena empresa para trabajar,Está bien la verdad es un buen prospecto,"Que la oficina está en un lugar un poco difícil de aparcar o con poca conexión de transporte público, la ventaja que no hay que ir mucho a la oficina de la consultora sino más bien a las de los clientes."
NEORIS,Pagan bien,"El sueldo y las prestaciones estaban bien cuando entre, aunque a los inferiores a nivel lider les quitaron algunas. El seguro de gastos médicos es excelente, paga preexistencias",Fuera del proyecto al que estas asignado es muy difícil subir o cambiar de puesto. Me parece que es por política. De igual forma el tema de aumentos arriba de la inflación. PD: negocia bien tu sueldo al entrar
NEORIS,Sr QA,"Sueldo competitivo
Prestaciones superiores de ley",Algunos clientes no permiten trabajar de manera remota
NEORIS,CÁRNICA DE TODA LA VIDA,No pagan mal pero te sangran,"No hay banquillo. Si no hay proyecto en dos semanas, a la calle."
NEORIS,Hay cosas mejores,Remoto pero depende del cliente,"Nomina mixta, cubren tu sueldo con bonos y no te registran con lo que realmente ganas"
NEORIS,Parece haber volcado mayormente al mundo Microsoft,"Buen equipo humano, variedad de proyectos","Con EPAM decayò el acceso a proyectos AWS, ML y OpenSource, al menos para quienes estàbamos en Neoris"
NEORIS,Bueno,Depende mucho de con quien te toque trabajar,no hay desventajas de  momento
NEORIS,Consultora,Buen sueldo y horarios flexibles,Rotacion y falta de comunidad
NEORIS,Buena opción para iniciar,"Depende el cliente, el ambiente es bueno y te ayudan a aprender muchas cosas",El crecimiento dicen que es casi imposible o malas subidas de sueldo
NEORIS,Excelente Experiencia,"Buen trato
Buenas prestaciones
Flexibilidad
Profesionalismo
Respeto
Compañerismo","Mala administración por parte de HC
Cuando estas remoto no te ofrecen SGMM
Fusión con EPAM y corrieron a muchos"
NEORIS,Buena,"prestaciones, conocimiento, crecimiento😙😉 grandes líderes, buenas personas","Pocos proyectos , contratación masiva en algunos proyectos"
